epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,6129.21,0.95998,1.15598,1.38838,0.84326,0.80165,0.87936,0.74138,0.97825,0.71543,1.49229,0.00028723,0.00028723,0.00028723
131,6180.36,0.9496,1.12425,1.37409,0.83234,0.81921,0.88142,0.74625,0.93984,0.71474,1.46345,0.000280275,0.000280275,0.000280275
132,6233.15,0.96106,1.14545,1.38507,0.82894,0.80151,0.87902,0.74705,0.93584,0.71038,1.46335,0.000273375,0.000273375,0.000273375
133,6285.6,0.95039,1.12841,1.37702,0.84153,0.81313,0.8815,0.74676,0.94555,0.7114,1.46665,0.000266532,0.000266532,0.000266532
134,6333.4,0.9505,1.12308,1.38142,0.84163,0.8002,0.87677,0.74633,0.93515,0.71756,1.45446,0.000259748,0.000259748,0.000259748
135,6381.46,0.95068,1.13343,1.37341,0.85207,0.80556,0.88137,0.74717,0.94278,0.72046,1.45681,0.000253024,0.000253024,0.000253024
136,6432.6,0.94022,1.12909,1.3759,0.84596,0.805,0.88082,0.74644,0.94918,0.71765,1.46437,0.000246363,0.000246363,0.000246363
137,6482.38,0.97527,1.16451,1.39306,0.84813,0.80095,0.8809,0.74694,0.93984,0.72237,1.46264,0.000239766,0.000239766,0.000239766
138,6529.41,0.95129,1.12013,1.37715,0.85552,0.80136,0.88342,0.75021,0.92919,0.72981,1.45173,0.000233234,0.000233234,0.000233234
139,6577.54,0.95658,1.14569,1.38237,0.83197,0.82999,0.88549,0.75061,0.93728,0.70049,1.45859,0.000226769,0.000226769,0.000226769
140,6625.92,0.95417,1.12233,1.38567,0.83258,0.82199,0.88596,0.74982,0.93426,0.71421,1.45786,0.000220372,0.000220372,0.000220372
141,6675.55,0.95703,1.12499,1.37899,0.85357,0.81387,0.88596,0.75277,0.91669,0.69945,1.44404,0.000214046,0.000214046,0.000214046
142,6726.66,0.95908,1.13828,1.38489,0.84234,0.82525,0.88769,0.7557,0.92151,0.69861,1.45324,0.000207792,0.000207792,0.000207792
143,6775.02,0.96452,1.12919,1.39413,0.83529,0.82879,0.88595,0.75051,0.93296,0.70755,1.45492,0.000201611,0.000201611,0.000201611
144,6823.78,0.94928,1.13108,1.38002,0.83697,0.82737,0.8848,0.74855,0.93739,0.70702,1.46007,0.000195505,0.000195505,0.000195505
145,6872.34,0.95693,1.13609,1.38977,0.83797,0.82594,0.88261,0.75424,0.91097,0.7154,1.43699,0.000189475,0.000189475,0.000189475
146,6920.84,0.9277,1.09919,1.37221,0.84323,0.8093,0.88187,0.75054,0.92415,0.71254,1.45355,0.000183523,0.000183523,0.000183523
147,6973.98,0.93854,1.10178,1.36524,0.84268,0.82252,0.88194,0.75312,0.91012,0.71527,1.44107,0.000177651,0.000177651,0.000177651
148,7022.52,0.95797,1.13706,1.38792,0.82637,0.82794,0.88418,0.75298,0.91833,0.70422,1.44708,0.000171859,0.000171859,0.000171859
149,7070.81,0.94477,1.1106,1.36968,0.87204,0.79708,0.88625,0.75623,0.90772,0.68737,1.43726,0.000166149,0.000166149,0.000166149
150,7119.53,0.94156,1.11294,1.37175,0.83712,0.83652,0.88878,0.75589,0.91174,0.68595,1.44214,0.000160523,0.000160523,0.000160523
151,7168.33,0.95436,1.13601,1.38278,0.836,0.8334,0.88939,0.75561,0.91726,0.68331,1.43897,0.000154982,0.000154982,0.000154982
152,7220.37,0.93562,1.09789,1.35456,0.83399,0.83364,0.88935,0.75355,0.91575,0.69698,1.43766,0.000149527,0.000149527,0.000149527
153,7268.23,0.94813,1.1297,1.37351,0.86732,0.7993,0.89116,0.75847,0.90683,0.68935,1.43659,0.000144161,0.000144161,0.000144161
154,7315.27,0.94763,1.13218,1.37767,0.82839,0.82256,0.88614,0.75726,0.89863,0.69975,1.43578,0.000138883,0.000138883,0.000138883
155,7363.19,0.92612,1.10108,1.34439,0.85,0.80432,0.8863,0.75517,0.9031,0.71361,1.43478,0.000133695,0.000133695,0.000133695
156,7410.98,0.93797,1.09979,1.36202,0.82255,0.84457,0.88717,0.75518,0.92024,0.69655,1.44142,0.000128599,0.000128599,0.000128599
157,7453.64,0.92957,1.09201,1.36687,0.8142,0.84446,0.88649,0.75521,0.91578,0.67875,1.4452,0.000123596,0.000123596,0.000123596
158,7497.06,0.93665,1.09271,1.37125,0.83782,0.83475,0.88618,0.75346,0.91967,0.68383,1.44325,0.000118687,0.000118687,0.000118687
159,7540.71,0.95041,1.11828,1.36952,0.83141,0.83593,0.88591,0.75667,0.90801,0.67246,1.43415,0.000113873,0.000113873,0.000113873
160,7584.5,0.93981,1.11672,1.36306,0.82245,0.83515,0.88498,0.75512,0.91663,0.68524,1.44069,0.000109156,0.000109156,0.000109156
161,7632.9,0.78551,0.74911,1.34837,0.85911,0.8078,0.8862,0.75156,0.92241,0.70463,1.4357,0.000104537,0.000104537,0.000104537
162,7675.86,0.77569,0.73661,1.34226,0.8174,0.84552,0.88632,0.75549,0.9087,0.69066,1.42156,0.000100016,0.000100016,0.000100016
163,7718.69,0.78432,0.74608,1.3528,0.82382,0.83331,0.88762,0.75469,0.91185,0.67343,1.41918,9.55951e-05,9.55951e-05,9.55951e-05
164,7761.69,0.77304,0.72858,1.34376,0.82327,0.83587,0.88756,0.7561,0.90569,0.68745,1.41492,9.12754e-05,9.12754e-05,9.12754e-05
165,7804.6,0.77368,0.72495,1.34379,0.83164,0.83605,0.88829,0.75234,0.92117,0.67282,1.43773,8.70577e-05,8.70577e-05,8.70577e-05
166,7847.53,0.77793,0.74662,1.34578,0.84073,0.82767,0.88776,0.75491,0.90241,0.68554,1.41833,8.29431e-05,8.29431e-05,8.29431e-05
167,7890.42,0.76859,0.72133,1.33246,0.85251,0.81437,0.88663,0.75253,0.92326,0.67947,1.43386,7.89327e-05,7.89327e-05,7.89327e-05
168,7933.32,0.76595,0.7404,1.33728,0.8218,0.84451,0.88498,0.75518,0.91428,0.67693,1.42791,7.50274e-05,7.50274e-05,7.50274e-05
169,7976.28,0.77518,0.723,1.34055,0.83172,0.82688,0.88706,0.75354,0.91319,0.68893,1.42302,7.12282e-05,7.12282e-05,7.12282e-05
